time,value,date
00:00:08,78,2022-03-23
00:00:13,77,2022-03-23
00:00:18,76,2022-03-23
00:00:23,77,2022-03-23
00:00:28,76,2022-03-23
00:00:33,74,2022-03-23
00:00:38,75,2022-03-23
00:00:48,77,2022-03-23
00:00:53,80,2022-03-23
00:00:58,81,2022-03-23
00:01:03,80,2022-03-23
00:01:08,79,2022-03-23
00:01:18,79,2022-03-23
00:01:28,81,2022-03-23
00:01:33,83,2022-03-23
00:01:38,82,2022-03-23
00:01:43,81,2022-03-23
00:01:48,84,2022-03-23
00:01:53,86,2022-03-23
00:01:58,87,2022-03-23
00:02:03,89,2022-03-23
00:02:08,86,2022-03-23
00:02:13,82,2022-03-23
00:02:18,79,2022-03-23
00:02:23,77,2022-03-23
00:02:28,76,2022-03-23
00:02:33,76,2022-03-23
00:02:38,77,2022-03-23
00:02:53,77,2022-03-23
00:03:03,79,2022-03-23
00:03:08,81,2022-03-23
00:03:13,84,2022-03-23
00:03:18,86,2022-03-23
00:03:28,85,2022-03-23
00:03:33,83,2022-03-23
00:03:38,84,2022-03-23
00:03:43,87,2022-03-23
00:03:48,89,2022-03-23
00:03:53,86,2022-03-23
00:03:58,87,2022-03-23
00:04:03,89,2022-03-23
00:04:08,87,2022-03-23
00:04:13,85,2022-03-23
00:04:18,77,2022-03-23
00:04:23,75,2022-03-23
00:04:28,75,2022-03-23
00:04:33,73,2022-03-23
00:04:38,72,2022-03-23
00:04:43,72,2022-03-23
00:04:58,72,2022-03-23
00:05:03,71,2022-03-23
00:05:13,72,2022-03-23
00:05:23,72,2022-03-23
00:05:28,72,2022-03-23
00:05:43,73,2022-03-23
00:05:48,76,2022-03-23
00:05:53,77,2022-03-23
00:05:58,77,2022-03-23
00:06:03,76,2022-03-23
00:06:08,75,2022-03-23
00:06:23,75,2022-03-23
00:06:33,75,2022-03-23
00:06:38,74,2022-03-23
00:06:43,73,2022-03-23
00:06:48,73,2022-03-23
00:06:58,74,2022-03-23
00:07:03,77,2022-03-23
00:07:13,74,2022-03-23
00:07:18,71,2022-03-23
00:07:23,74,2022-03-23
00:07:28,73,2022-03-23
00:07:33,73,2022-03-23
00:07:38,74,2022-03-23
00:07:43,71,2022-03-23
00:07:48,70,2022-03-23
00:07:53,69,2022-03-23
00:08:03,70,2022-03-23
00:08:13,71,2022-03-23
00:08:18,73,2022-03-23
00:08:23,72,2022-03-23
00:08:28,73,2022-03-23
00:08:33,73,2022-03-23
00:08:43,79,2022-03-23
00:08:48,83,2022-03-23
00:08:53,87,2022-03-23
00:08:58,89,2022-03-23
00:09:08,80,2022-03-23
00:09:13,78,2022-03-23
00:09:18,74,2022-03-23
00:09:23,75,2022-03-23
00:09:28,74,2022-03-23
00:09:33,71,2022-03-23
00:09:38,68,2022-03-23
00:09:43,69,2022-03-23
00:09:48,71,2022-03-23
00:09:53,72,2022-03-23
00:10:08,72,2022-03-23
00:10:13,75,2022-03-23
00:10:18,76,2022-03-23
00:10:23,77,2022-03-23
00:10:28,78,2022-03-23
00:10:33,77,2022-03-23
00:10:43,78,2022-03-23
00:10:58,78,2022-03-23
00:11:03,78,2022-03-23
00:11:08,77,2022-03-23
00:11:13,75,2022-03-23
00:11:18,72,2022-03-23
00:11:23,74,2022-03-23
00:11:33,75,2022-03-23
00:11:38,76,2022-03-23
00:11:43,77,2022-03-23
00:11:48,76,2022-03-23
00:11:58,75,2022-03-23
00:12:03,73,2022-03-23
00:12:08,72,2022-03-23
00:12:13,71,2022-03-23
00:12:18,72,2022-03-23
00:12:23,72,2022-03-23
00:12:38,72,2022-03-23
00:12:43,73,2022-03-23
00:12:48,74,2022-03-23
00:12:53,73,2022-03-23
00:13:08,73,2022-03-23
00:13:13,72,2022-03-23
00:13:23,74,2022-03-23
00:13:38,74,2022-03-23
00:13:43,75,2022-03-23
00:13:48,76,2022-03-23
00:13:53,77,2022-03-23
00:13:58,77,2022-03-23
00:14:03,76,2022-03-23
00:14:13,75,2022-03-23
00:14:18,76,2022-03-23
00:14:33,76,2022-03-23
00:14:38,77,2022-03-23
00:14:43,80,2022-03-23
00:14:48,82,2022-03-23
00:14:53,81,2022-03-23
00:15:03,83,2022-03-23
00:15:08,82,2022-03-23
00:15:13,83,2022-03-23
00:15:18,84,2022-03-23
00:15:23,89,2022-03-23
00:15:28,93,2022-03-23
00:15:33,94,2022-03-23
00:15:38,93,2022-03-23
00:15:43,96,2022-03-23
00:15:48,96,2022-03-23
00:15:53,94,2022-03-23
00:15:58,96,2022-03-23
00:16:03,93,2022-03-23
00:16:08,94,2022-03-23
00:16:13,95,2022-03-23
00:16:18,93,2022-03-23
00:16:23,90,2022-03-23
00:16:33,87,2022-03-23
00:16:38,85,2022-03-23
00:16:43,82,2022-03-23
00:16:48,78,2022-03-23
00:16:53,75,2022-03-23
00:16:58,73,2022-03-23
00:17:03,74,2022-03-23
00:17:08,75,2022-03-23
00:17:13,75,2022-03-23
00:17:18,74,2022-03-23
00:17:28,75,2022-03-23
00:17:38,76,2022-03-23
00:17:43,77,2022-03-23
00:17:48,77,2022-03-23
00:18:03,77,2022-03-23
00:18:18,78,2022-03-23
00:18:23,77,2022-03-23
00:18:28,76,2022-03-23
00:18:33,75,2022-03-23
00:18:38,75,2022-03-23
00:18:48,74,2022-03-23
00:18:58,74,2022-03-23
00:19:03,74,2022-03-23
00:19:08,74,2022-03-23
00:19:18,74,2022-03-23
00:19:23,74,2022-03-23
00:19:28,73,2022-03-23
00:19:33,74,2022-03-23
00:19:38,75,2022-03-23
00:19:48,81,2022-03-23
00:19:53,84,2022-03-23
00:19:58,86,2022-03-23
00:20:03,90,2022-03-23
00:20:08,89,2022-03-23
00:20:13,90,2022-03-23
00:20:18,89,2022-03-23
00:20:23,90,2022-03-23
00:20:28,82,2022-03-23
00:20:33,80,2022-03-23
