time,value,date
00:00:05,81,2022-03-23
00:00:10,80,2022-03-23
00:00:15,79,2022-03-23
00:00:20,81,2022-03-23
00:00:25,83,2022-03-23
00:00:35,84,2022-03-23
00:00:40,82,2022-03-23
00:00:45,80,2022-03-23
00:00:55,82,2022-03-23
00:01:00,83,2022-03-23
00:01:10,82,2022-03-23
00:01:20,81,2022-03-23
00:01:30,80,2022-03-23
00:01:35,81,2022-03-23
00:01:40,80,2022-03-23
00:01:55,80,2022-03-23
00:02:00,80,2022-03-23
00:02:15,81,2022-03-23
00:02:25,81,2022-03-23
00:02:30,82,2022-03-23
00:02:35,83,2022-03-23
00:02:40,86,2022-03-23
00:02:45,87,2022-03-23
00:02:55,84,2022-03-23
00:03:00,82,2022-03-23
00:03:05,81,2022-03-23
00:03:10,82,2022-03-23
00:03:15,84,2022-03-23
00:03:20,83,2022-03-23
00:03:25,84,2022-03-23
00:03:30,83,2022-03-23
00:03:35,84,2022-03-23
00:03:40,85,2022-03-23
00:03:50,87,2022-03-23
00:04:00,86,2022-03-23
00:04:05,87,2022-03-23
00:04:10,86,2022-03-23
00:04:15,85,2022-03-23
00:04:25,84,2022-03-23
00:04:30,86,2022-03-23
00:04:35,82,2022-03-23
00:04:50,82,2022-03-23
00:05:00,82,2022-03-23
00:05:05,83,2022-03-23
00:05:15,82,2022-03-23
00:05:20,81,2022-03-23
00:05:25,81,2022-03-23
00:05:30,82,2022-03-23
00:05:45,81,2022-03-23
00:06:00,81,2022-03-23
00:06:05,82,2022-03-23
00:06:10,81,2022-03-23
00:06:15,82,2022-03-23
00:06:20,83,2022-03-23
00:06:26,82,2022-03-23
00:06:31,81,2022-03-23
00:06:36,82,2022-03-23
00:06:46,81,2022-03-23
00:06:51,79,2022-03-23
00:07:06,79,2022-03-23
00:07:16,81,2022-03-23
00:07:26,80,2022-03-23
00:07:41,81,2022-03-23
00:07:51,80,2022-03-23
00:07:56,77,2022-03-23
00:08:01,76,2022-03-23
00:08:06,77,2022-03-23
00:08:21,79,2022-03-23
00:08:26,82,2022-03-23
00:08:31,84,2022-03-23
00:08:41,83,2022-03-23
00:08:46,81,2022-03-23
00:08:51,80,2022-03-23
00:08:56,79,2022-03-23
00:09:11,79,2022-03-23
00:09:21,80,2022-03-23
00:09:36,79,2022-03-23
00:09:41,80,2022-03-23
00:09:46,80,2022-03-23
00:09:51,80,2022-03-23
00:10:06,80,2022-03-23
00:10:11,81,2022-03-23
00:10:16,80,2022-03-23
00:10:31,80,2022-03-23
00:10:46,80,2022-03-23
00:11:01,79,2022-03-23
00:11:06,77,2022-03-23
00:11:11,78,2022-03-23
00:11:21,77,2022-03-23
00:11:36,77,2022-03-23
00:11:51,77,2022-03-23
00:12:06,77,2022-03-23
00:12:11,78,2022-03-23
00:12:26,77,2022-03-23
00:12:31,76,2022-03-23
00:12:36,76,2022-03-23
00:12:41,75,2022-03-23
00:12:46,74,2022-03-23
00:13:01,74,2022-03-23
00:13:11,75,2022-03-23
00:13:21,76,2022-03-23
00:13:31,75,2022-03-23
00:13:46,76,2022-03-23
00:13:51,75,2022-03-23
00:13:56,75,2022-03-23
00:14:01,74,2022-03-23
00:14:06,74,2022-03-23
00:14:21,74,2022-03-23
00:14:26,74,2022-03-23
00:14:31,75,2022-03-23
00:14:36,76,2022-03-23
00:14:51,75,2022-03-23
00:14:56,75,2022-03-23
00:15:01,74,2022-03-23
00:15:16,73,2022-03-23
00:15:21,73,2022-03-23
00:15:31,74,2022-03-23
00:15:36,75,2022-03-23
00:15:51,75,2022-03-23
00:16:06,75,2022-03-23
00:16:16,75,2022-03-23
00:16:21,75,2022-03-23
00:16:36,75,2022-03-23
00:16:51,75,2022-03-23
00:17:06,76,2022-03-23
00:17:11,77,2022-03-23
00:17:16,78,2022-03-23
00:17:26,77,2022-03-23
00:17:31,76,2022-03-23
00:17:36,74,2022-03-23
00:17:41,73,2022-03-23
00:17:46,73,2022-03-23
00:17:56,74,2022-03-23
00:18:01,74,2022-03-23
00:18:16,75,2022-03-23
00:18:21,75,2022-03-23
00:18:26,77,2022-03-23
00:18:31,77,2022-03-23
00:18:36,74,2022-03-23
00:18:41,73,2022-03-23
00:18:46,75,2022-03-23
00:18:51,76,2022-03-23
00:18:56,77,2022-03-23
00:19:01,75,2022-03-23
00:19:06,73,2022-03-23
00:19:11,73,2022-03-23
00:19:16,74,2022-03-23
00:19:21,75,2022-03-23
00:19:26,76,2022-03-23
00:19:41,76,2022-03-23
00:19:46,75,2022-03-23
00:20:01,76,2022-03-23
00:20:06,77,2022-03-23
00:20:11,76,2022-03-23
00:20:26,77,2022-03-23
00:20:31,78,2022-03-23
00:20:41,78,2022-03-23
00:20:46,79,2022-03-23
00:20:51,80,2022-03-23
00:20:56,81,2022-03-23
00:21:01,79,2022-03-23
00:21:06,78,2022-03-23
00:21:11,78,2022-03-23
00:21:26,78,2022-03-23
00:21:31,78,2022-03-23
00:21:46,78,2022-03-23
00:21:51,77,2022-03-23
00:22:01,78,2022-03-23
00:22:06,78,2022-03-23
00:22:11,78,2022-03-23
00:22:21,78,2022-03-23
00:22:31,79,2022-03-23
00:22:41,80,2022-03-23
00:22:51,81,2022-03-23
00:22:56,81,2022-03-23
00:23:01,81,2022-03-23
00:23:06,80,2022-03-23
00:23:21,80,2022-03-23
00:23:36,81,2022-03-23
00:23:51,81,2022-03-23
00:24:01,80,2022-03-23
00:24:11,80,2022-03-23
00:24:16,79,2022-03-23
00:24:21,79,2022-03-23
00:24:26,79,2022-03-23
00:24:31,80,2022-03-23
00:24:46,80,2022-03-23
00:25:01,81,2022-03-23
00:25:06,81,2022-03-23
00:25:11,80,2022-03-23
00:25:21,81,2022-03-23
00:25:26,80,2022-03-23
00:25:31,79,2022-03-23
00:25:36,80,2022-03-23
00:25:41,79,2022-03-23
00:25:46,80,2022-03-23
00:25:51,80,2022-03-23
00:26:06,80,2022-03-23
00:26:16,79,2022-03-23
00:26:26,80,2022-03-23
00:26:31,81,2022-03-23
00:26:36,80,2022-03-23
00:26:41,79,2022-03-23
00:26:46,80,2022-03-23
00:26:51,81,2022-03-23
00:27:01,82,2022-03-23
00:27:06,85,2022-03-23
00:27:11,87,2022-03-23
00:27:16,86,2022-03-23
00:27:21,84,2022-03-23
00:27:26,82,2022-03-23
00:27:31,78,2022-03-23
00:27:36,77,2022-03-23
00:27:46,78,2022-03-23
00:28:01,78,2022-03-23
00:28:16,77,2022-03-23
00:28:21,77,2022-03-23
00:28:26,76,2022-03-23
00:28:41,76,2022-03-23
00:28:46,76,2022-03-23
00:28:56,77,2022-03-23
00:29:06,78,2022-03-23
00:29:21,78,2022-03-23
00:29:36,78,2022-03-23
00:29:41,76,2022-03-23
00:29:46,75,2022-03-23
00:29:51,75,2022-03-23
00:29:56,76,2022-03-23
00:30:01,77,2022-03-23
00:30:06,77,2022-03-23
00:30:21,78,2022-03-23
00:30:26,79,2022-03-23
00:30:31,78,2022-03-23
00:30:36,79,2022-03-23
00:30:46,79,2022-03-23
00:30:56,78,2022-03-23
00:31:01,78,2022-03-23
00:31:06,77,2022-03-23
00:31:11,76,2022-03-23
00:31:16,76,2022-03-23
