time,value,date
00:00:04,69,2022-03-23
00:00:09,70,2022-03-23
00:00:14,70,2022-03-23
00:00:24,71,2022-03-23
00:00:29,74,2022-03-23
00:00:34,75,2022-03-23
00:00:39,72,2022-03-23
00:00:44,70,2022-03-23
00:00:59,72,2022-03-23
00:01:14,73,2022-03-23
00:01:19,72,2022-03-23
00:01:24,75,2022-03-23
00:01:29,74,2022-03-23
00:01:34,72,2022-03-23
00:01:39,72,2022-03-23
00:01:44,70,2022-03-23
00:01:49,70,2022-03-23
00:01:54,71,2022-03-23
00:01:59,72,2022-03-23
00:02:04,68,2022-03-23
00:02:14,68,2022-03-23
00:02:19,68,2022-03-23
00:02:24,69,2022-03-23
00:02:29,73,2022-03-23
00:02:34,76,2022-03-23
00:02:44,70,2022-03-23
00:02:49,67,2022-03-23
00:02:54,66,2022-03-23
00:02:59,67,2022-03-23
00:03:04,69,2022-03-23
00:03:09,72,2022-03-23
00:03:14,73,2022-03-23
00:03:19,77,2022-03-23
00:03:24,73,2022-03-23
00:03:29,70,2022-03-23
00:03:34,70,2022-03-23
00:03:44,70,2022-03-23
00:03:49,71,2022-03-23
00:03:59,73,2022-03-23
00:04:04,74,2022-03-23
00:04:09,72,2022-03-23
00:04:14,71,2022-03-23
00:04:19,70,2022-03-23
00:04:24,69,2022-03-23
00:04:29,68,2022-03-23
00:04:39,70,2022-03-23
00:04:44,71,2022-03-23
00:04:49,70,2022-03-23
00:04:59,71,2022-03-23
00:05:04,74,2022-03-23
00:05:09,76,2022-03-23
00:05:14,78,2022-03-23
00:05:19,79,2022-03-23
00:05:34,77,2022-03-23
00:05:39,75,2022-03-23
00:05:44,73,2022-03-23
00:05:54,75,2022-03-23
00:06:09,74,2022-03-23
00:06:14,74,2022-03-23
00:06:19,75,2022-03-23
00:06:24,74,2022-03-23
00:06:29,73,2022-03-23
00:06:34,74,2022-03-23
00:06:39,74,2022-03-23
00:06:44,77,2022-03-23
00:06:49,79,2022-03-23
00:06:59,78,2022-03-23
00:07:04,75,2022-03-23
00:07:09,73,2022-03-23
00:07:14,72,2022-03-23
00:07:24,72,2022-03-23
00:07:29,73,2022-03-23
00:07:34,75,2022-03-23
00:07:39,79,2022-03-23
00:07:44,81,2022-03-23
00:07:54,83,2022-03-23
00:07:59,81,2022-03-23
00:08:04,80,2022-03-23
00:08:09,79,2022-03-23
00:08:19,87,2022-03-23
00:08:29,86,2022-03-23
00:08:34,80,2022-03-23
00:08:39,77,2022-03-23
00:08:44,73,2022-03-23
00:08:49,70,2022-03-23
00:08:54,72,2022-03-23
00:08:59,74,2022-03-23
00:09:09,72,2022-03-23
00:09:14,69,2022-03-23
00:09:24,70,2022-03-23
00:09:29,74,2022-03-23
00:09:34,68,2022-03-23
00:09:39,65,2022-03-23
00:09:44,70,2022-03-23
00:09:49,77,2022-03-23
00:10:04,77,2022-03-23
00:10:09,78,2022-03-23
00:10:24,78,2022-03-23
00:10:29,77,2022-03-23
00:10:34,79,2022-03-23
00:10:39,78,2022-03-23
00:10:44,82,2022-03-23
00:10:49,84,2022-03-23
00:10:54,88,2022-03-23
00:10:59,85,2022-03-23
00:11:04,81,2022-03-23
00:11:09,77,2022-03-23
00:11:14,72,2022-03-23
00:11:19,69,2022-03-23
00:11:24,68,2022-03-23
00:11:29,67,2022-03-23
00:11:34,71,2022-03-23
00:11:39,75,2022-03-23
00:11:44,76,2022-03-23
00:11:49,79,2022-03-23
00:11:54,81,2022-03-23
00:12:04,79,2022-03-23
00:12:09,81,2022-03-23
00:12:14,82,2022-03-23
00:12:19,83,2022-03-23
00:12:24,85,2022-03-23
00:12:34,84,2022-03-23
00:12:39,87,2022-03-23
00:12:44,86,2022-03-23
00:12:54,85,2022-03-23
00:12:59,84,2022-03-23
00:13:04,83,2022-03-23
00:13:19,83,2022-03-23
00:13:29,84,2022-03-23
00:13:34,84,2022-03-23
00:13:49,84,2022-03-23
00:13:54,88,2022-03-23
00:13:59,87,2022-03-23
00:14:04,88,2022-03-23
00:14:09,86,2022-03-23
00:14:14,87,2022-03-23
00:14:19,84,2022-03-23
00:14:34,86,2022-03-23
00:14:39,85,2022-03-23
00:14:44,86,2022-03-23
00:14:49,85,2022-03-23
00:14:54,87,2022-03-23
00:15:09,86,2022-03-23
00:15:24,87,2022-03-23
00:15:34,89,2022-03-23
00:15:39,87,2022-03-23
00:15:49,91,2022-03-23
00:15:54,96,2022-03-23
00:15:59,100,2022-03-23
00:16:04,98,2022-03-23
00:16:09,99,2022-03-23
00:16:24,98,2022-03-23
00:16:29,97,2022-03-23
00:16:34,98,2022-03-23
00:16:39,99,2022-03-23
00:16:44,98,2022-03-23
00:16:49,97,2022-03-23
00:16:54,100,2022-03-23
00:16:59,102,2022-03-23
00:17:09,101,2022-03-23
00:17:24,103,2022-03-23
00:17:29,99,2022-03-23
00:17:34,100,2022-03-23
00:17:39,98,2022-03-23
00:17:44,99,2022-03-23
00:17:54,100,2022-03-23
00:17:59,103,2022-03-23
00:18:04,101,2022-03-23
00:18:09,99,2022-03-23
00:18:14,100,2022-03-23
00:18:19,98,2022-03-23
00:18:24,101,2022-03-23
00:18:29,102,2022-03-23
00:18:44,101,2022-03-23
00:18:49,100,2022-03-23
00:18:54,99,2022-03-23
00:18:59,98,2022-03-23
00:19:04,94,2022-03-23
00:19:19,91,2022-03-23
00:19:24,98,2022-03-23
00:19:29,92,2022-03-23
00:19:34,93,2022-03-23
00:19:39,94,2022-03-23
00:19:44,95,2022-03-23
00:19:49,94,2022-03-23
00:19:54,96,2022-03-23
00:19:59,98,2022-03-23
00:20:04,97,2022-03-23
00:20:09,96,2022-03-23
00:20:14,95,2022-03-23
00:20:24,97,2022-03-23
00:20:29,96,2022-03-23
00:20:34,98,2022-03-23
00:20:39,96,2022-03-23
00:20:44,95,2022-03-23
00:20:59,94,2022-03-23
00:21:04,95,2022-03-23
00:21:14,97,2022-03-23
00:21:19,96,2022-03-23
00:21:24,98,2022-03-23
00:21:29,97,2022-03-23
00:21:34,98,2022-03-23
00:21:39,99,2022-03-23
00:21:44,100,2022-03-23
00:21:49,104,2022-03-23
00:21:54,102,2022-03-23
00:21:59,104,2022-03-23
00:22:04,103,2022-03-23
00:22:14,104,2022-03-23
00:22:19,102,2022-03-23
00:22:24,102,2022-03-23
00:22:29,100,2022-03-23
00:22:39,102,2022-03-23
00:22:44,103,2022-03-23
00:22:49,102,2022-03-23
00:22:54,101,2022-03-23
00:22:59,100,2022-03-23
00:23:04,98,2022-03-23
00:23:09,95,2022-03-23
00:23:14,94,2022-03-23
00:23:19,93,2022-03-23
00:23:24,91,2022-03-23
00:23:29,94,2022-03-23
00:23:34,96,2022-03-23
00:23:39,97,2022-03-23
00:23:44,96,2022-03-23
00:23:54,95,2022-03-23
00:24:04,99,2022-03-23
00:24:09,100,2022-03-23
00:24:14,101,2022-03-23
00:24:19,101,2022-03-23
00:24:24,102,2022-03-23
00:24:29,102,2022-03-23
00:24:34,101,2022-03-23
00:24:39,100,2022-03-23
00:24:54,100,2022-03-23
00:24:59,99,2022-03-23
00:25:04,99,2022-03-23
00:25:09,97,2022-03-23
00:25:24,96,2022-03-23
00:25:29,97,2022-03-23
00:25:44,97,2022-03-23
00:25:49,97,2022-03-23
00:25:59,101,2022-03-23
00:26:04,102,2022-03-23
00:26:14,103,2022-03-23
00:26:19,102,2022-03-23
00:26:24,101,2022-03-23
00:26:29,101,2022-03-23
00:26:34,100,2022-03-23
00:26:39,102,2022-03-23
00:26:44,103,2022-03-23
00:26:54,99,2022-03-23
00:27:04,94,2022-03-23
00:27:09,93,2022-03-23
00:27:14,95,2022-03-23
00:27:19,97,2022-03-23
00:27:34,95,2022-03-23
00:27:39,93,2022-03-23
00:27:44,90,2022-03-23
00:27:54,91,2022-03-23
00:27:59,93,2022-03-23
00:28:09,91,2022-03-23
00:28:14,86,2022-03-23
00:28:19,81,2022-03-23
00:28:24,82,2022-03-23
00:28:34,83,2022-03-23
00:28:39,85,2022-03-23
00:28:44,88,2022-03-23
00:28:49,89,2022-03-23
00:28:54,91,2022-03-23
00:28:59,90,2022-03-23
00:29:04,93,2022-03-23
00:29:09,90,2022-03-23
00:29:19,88,2022-03-23
00:29:24,87,2022-03-23
00:29:29,85,2022-03-23
00:29:44,85,2022-03-23
00:29:49,86,2022-03-23
00:29:59,85,2022-03-23
00:30:04,84,2022-03-23
00:30:09,84,2022-03-23
00:30:14,82,2022-03-23
00:30:24,86,2022-03-23
00:30:29,87,2022-03-23
00:30:39,89,2022-03-23
00:30:44,90,2022-03-23
00:30:54,88,2022-03-23
00:30:59,85,2022-03-23
00:31:04,86,2022-03-23
00:31:09,88,2022-03-23
00:31:14,88,2022-03-23
00:31:19,87,2022-03-23
00:31:24,86,2022-03-23
00:31:29,85,2022-03-23
00:31:34,84,2022-03-23
00:31:39,84,2022-03-23
00:31:44,83,2022-03-23
00:31:49,84,2022-03-23
00:31:54,86,2022-03-23
00:31:59,89,2022-03-23
00:32:04,90,2022-03-23
00:32:19,90,2022-03-23
00:32:24,94,2022-03-23
00:32:29,95,2022-03-23
00:32:34,96,2022-03-23
00:32:39,95,2022-03-23
00:32:44,94,2022-03-23
00:32:49,95,2022-03-23
00:32:59,93,2022-03-23
00:33:04,95,2022-03-23
00:33:19,95,2022-03-23
00:33:29,96,2022-03-23
00:33:34,94,2022-03-23
00:33:39,95,2022-03-23
00:33:44,93,2022-03-23
00:33:49,94,2022-03-23
00:33:54,93,2022-03-23
00:33:59,94,2022-03-23
00:34:04,95,2022-03-23
00:34:09,96,2022-03-23
00:34:19,97,2022-03-23
00:34:34,98,2022-03-23
00:34:39,99,2022-03-23
00:34:44,98,2022-03-23
00:34:49,97,2022-03-23
00:35:04,96,2022-03-23
00:35:09,97,2022-03-23
00:35:14,96,2022-03-23
00:35:19,97,2022-03-23
00:35:29,98,2022-03-23
00:35:34,99,2022-03-23
00:35:39,100,2022-03-23
00:35:44,96,2022-03-23
00:35:49,95,2022-03-23
00:35:54,93,2022-03-23
00:35:59,90,2022-03-23
00:36:14,90,2022-03-23
00:36:19,89,2022-03-23
00:36:24,88,2022-03-23
00:36:29,90,2022-03-23
00:36:34,90,2022-03-23
00:36:39,91,2022-03-23
00:36:44,90,2022-03-23
00:36:49,89,2022-03-23
00:36:54,89,2022-03-23
00:36:59,88,2022-03-23
00:37:04,89,2022-03-23
00:37:09,88,2022-03-23
00:37:14,89,2022-03-23
00:37:19,88,2022-03-23
00:37:24,89,2022-03-23
00:37:39,90,2022-03-23
00:37:54,90,2022-03-23
00:37:59,89,2022-03-23
00:38:09,88,2022-03-23
00:38:24,88,2022-03-23
00:38:29,89,2022-03-23
00:38:34,90,2022-03-23
00:38:39,89,2022-03-23
00:38:44,87,2022-03-23
00:38:49,87,2022-03-23
00:38:54,86,2022-03-23
00:39:09,85,2022-03-23
00:39:19,86,2022-03-23
00:39:24,85,2022-03-23
00:39:34,86,2022-03-23
00:39:39,86,2022-03-23
00:39:44,84,2022-03-23
00:39:49,83,2022-03-23
00:39:59,83,2022-03-23
00:40:09,85,2022-03-23
00:40:14,84,2022-03-23
00:40:19,82,2022-03-23
00:40:24,81,2022-03-23
00:40:29,82,2022-03-23
00:40:34,83,2022-03-23
00:40:39,85,2022-03-23
00:40:44,83,2022-03-23
00:40:49,85,2022-03-23
00:40:54,83,2022-03-23
00:40:59,84,2022-03-23
00:41:09,87,2022-03-23
00:41:14,82,2022-03-23
00:41:19,83,2022-03-23
00:41:29,81,2022-03-23
00:41:34,84,2022-03-23
00:41:44,85,2022-03-23
00:41:49,86,2022-03-23
00:41:54,87,2022-03-23
00:42:04,86,2022-03-23
00:42:09,87,2022-03-23
00:42:24,86,2022-03-23
00:42:29,84,2022-03-23
00:42:34,83,2022-03-23
00:42:39,81,2022-03-23
00:42:44,80,2022-03-23
00:42:54,81,2022-03-23
00:43:09,83,2022-03-23
00:43:14,83,2022-03-23
00:43:19,86,2022-03-23
00:43:24,87,2022-03-23
00:43:39,85,2022-03-23
00:43:44,84,2022-03-23
00:43:54,86,2022-03-23
00:43:59,88,2022-03-23
00:44:09,89,2022-03-23
00:44:14,89,2022-03-23
00:44:24,91,2022-03-23
00:44:29,92,2022-03-23
00:44:39,91,2022-03-23
00:44:54,89,2022-03-23
00:45:04,87,2022-03-23
00:45:09,84,2022-03-23
00:45:24,84,2022-03-23
00:45:39,84,2022-03-23
00:45:44,86,2022-03-23
00:45:49,85,2022-03-23
00:45:54,81,2022-03-23
00:45:59,79,2022-03-23
00:46:04,78,2022-03-23
00:46:09,77,2022-03-23
00:46:14,76,2022-03-23
00:46:19,76,2022-03-23
00:46:24,78,2022-03-23
00:46:29,80,2022-03-23
00:46:34,81,2022-03-23
00:46:44,92,2022-03-23
00:46:49,85,2022-03-23
00:46:54,86,2022-03-23
00:46:59,84,2022-03-23
00:47:09,82,2022-03-23
00:47:14,83,2022-03-23
00:47:19,82,2022-03-23
00:47:24,83,2022-03-23
00:47:29,82,2022-03-23
00:47:44,82,2022-03-23
00:47:54,80,2022-03-23
00:48:04,79,2022-03-23
00:48:09,82,2022-03-23
00:48:14,78,2022-03-23
00:48:19,82,2022-03-23
00:48:24,81,2022-03-23
00:48:29,84,2022-03-23
00:48:39,86,2022-03-23
00:48:44,87,2022-03-23
00:48:49,83,2022-03-23
00:48:54,85,2022-03-23
00:48:59,84,2022-03-23
00:49:04,83,2022-03-23
00:49:09,85,2022-03-23
00:49:14,88,2022-03-23
00:49:19,86,2022-03-23
00:49:29,87,2022-03-23
00:49:34,88,2022-03-23
00:49:49,87,2022-03-23
00:49:54,84,2022-03-23
00:49:59,85,2022-03-23
00:50:09,84,2022-03-23
00:50:14,83,2022-03-23
00:50:19,82,2022-03-23
00:50:24,84,2022-03-23
00:50:29,83,2022-03-23
00:50:34,79,2022-03-23
00:50:39,80,2022-03-23
00:50:44,82,2022-03-23
00:50:49,81,2022-03-23
00:50:54,80,2022-03-23
00:50:59,80,2022-03-23
00:51:04,78,2022-03-23
00:51:09,78,2022-03-23
00:51:14,79,2022-03-23
00:51:24,80,2022-03-23
00:51:29,82,2022-03-23
00:51:34,82,2022-03-23
00:51:39,80,2022-03-23
00:51:44,77,2022-03-23
00:51:54,77,2022-03-23
00:51:59,80,2022-03-23
00:52:04,85,2022-03-23
00:52:14,81,2022-03-23
00:52:19,79,2022-03-23
00:52:24,80,2022-03-23
00:52:29,83,2022-03-23
00:52:34,86,2022-03-23
00:52:39,87,2022-03-23
00:52:44,88,2022-03-23
00:52:54,85,2022-03-23
00:52:59,82,2022-03-23
00:53:04,81,2022-03-23
00:53:14,83,2022-03-23
00:53:19,85,2022-03-23
00:53:24,88,2022-03-23
00:53:29,90,2022-03-23
00:53:34,88,2022-03-23
00:53:49,81,2022-03-23
00:53:54,79,2022-03-23
00:54:04,81,2022-03-23
00:54:09,82,2022-03-23
00:54:14,80,2022-03-23
00:54:19,79,2022-03-23
00:54:24,78,2022-03-23
00:54:34,79,2022-03-23
00:54:44,78,2022-03-23
00:54:49,76,2022-03-23
00:54:54,73,2022-03-23
00:54:59,72,2022-03-23
00:55:04,73,2022-03-23
00:55:09,78,2022-03-23
00:55:14,80,2022-03-23
00:55:19,79,2022-03-23
00:55:24,80,2022-03-23
00:55:29,82,2022-03-23
00:55:34,81,2022-03-23
00:55:44,80,2022-03-23
00:55:49,78,2022-03-23
00:55:54,77,2022-03-23
00:56:09,77,2022-03-23
00:56:14,77,2022-03-23
00:56:19,77,2022-03-23
00:56:34,76,2022-03-23
00:56:39,75,2022-03-23
00:56:49,76,2022-03-23
00:56:59,74,2022-03-23
00:57:04,74,2022-03-23
00:57:09,74,2022-03-23
00:57:14,73,2022-03-23
00:57:19,71,2022-03-23
00:57:24,73,2022-03-23
00:57:29,78,2022-03-23
00:57:34,81,2022-03-23
00:57:39,77,2022-03-23
00:57:44,77,2022-03-23
00:57:49,76,2022-03-23
00:57:54,77,2022-03-23
00:57:59,76,2022-03-23
00:58:04,75,2022-03-23
00:58:09,76,2022-03-23
00:58:14,77,2022-03-23
00:58:19,78,2022-03-23
00:58:24,78,2022-03-23
00:58:29,77,2022-03-23
00:58:34,78,2022-03-23
00:58:39,77,2022-03-23
00:58:44,77,2022-03-23
00:58:49,76,2022-03-23
00:58:54,77,2022-03-23
