250
9
Frame	CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8
0	187500	187500	5571.865234375	-5481.5419921875	187500	187500	187500	187500
1	187500	187500	5586.37158203125	-5466.43212890625	187500	187500	187500	187500
2	187500	187500	5589.8583984375	-5491.04150390625	187500	187500	187500	187500
3	187500	187500	5580.73876953125	-5512.2978515625	187500	187500	187500	187500
4	187500	187500	5567.1044921875	-5513.01318359375	187500	187500	187500	187500
5	187500	187500	5555.92822265625	-5520.5009765625	187500	187500	187500	187500
6	187500	187500	5559.57177734375	-5532.861328125	187500	187500	187500	187500
7	187500	187500	5564.2431640625	-5553.76025390625	187500	187500	187500	187500
8	187500	187500	5558.2978515625	-5571.32861328125	187500	187500	187500	187500
9	187500	187500	5554.095703125	-5587.15380859375	187500	187500	187500	187500
10	187500	187500	5559.16943359375	-5608.96923828125	187500	187500	187500	187500
11	187500	187500	5561.35986328125	-5645.55908203125	187500	187500	187500	187500
12	187500	187500	5560.95751953125	-5657.76318359375	187500	187500	187500	187500
13	187500	187500	5558.9013671875	-5658.09814453125	187500	187500	187500	187500
14	187500	187500	5564.75732421875	-5666.92724609375	187500	187500	187500	187500
15	187500	187500	5563.52783203125	-5699.2255859375	187500	187500	187500	187500
16	187500	187500	5545.02099609375	-5728.5732421875	187500	187500	187500	187500
17	187500	187500	5539.0302734375	-5715.765625	187500	187500	187500	187500
18	187500	187500	5526.02197265625	-5704.7685546875	187500	187500	187500	187500
19	187500	187500	5512.8564453125	-5715.27392578125	187500	187500	187500	187500
20	187500	187500	5481.720703125	-5733.31201171875	187500	187500	187500	187500
21	187500	187500	5461.00048828125	-5729.06494140625	187500	187500	187500	187500
22	187500	187500	5452.84228515625	-5702.31005859375	187500	187500	187500	187500
23	187500	187500	5450.919921875	-5707.2275390625	187500	187500	187500	187500
24	187500	187500	5433.3515625	-5730.89794921875	187500	187500	187500	187500
25	187500	187500	5412.162109375	-5727.27685546875	187500	187500	187500	187500
26	187500	187500	5408.943359375	-5706.6015625	187500	187500	187500	187500
27	187500	187500	5409.099609375	-5711.228515625	187500	187500	187500	187500
28	187500	187500	5383.1943359375	-5738.43017578125	187500	187500	187500	187500
29	187500	187500	5356.64013671875	-5744.4208984375	187500	187500	187500	187500
30	187500	187500	5370.65478515625	-5722.9853515625	187500	187500	187500	187500
31	187500	187500	5383.68603515625	-5725.04150390625	187500	187500	187500	187500
32	187500	187500	5347.9228515625	-5757.63037109375	187500	187500	187500	187500
33	187500	187500	5319.3349609375	-5787.06787109375	187500	187500	187500	187500
34	187500	187500	5324.38671875	-5769.87939453125	187500	187500	187500	187500
35	187500	187500	5349.08544921875	-5760.40234375	187500	187500	187500	187500
36	187500	187500	5346.04541015625	-5792.7451171875	187500	187500	187500	187500
37	187500	187500	5334.71337890625	-5818.3828125	187500	187500	187500	187500
38	187500	187500	5327.962890625	-5808.43603515625	187500	187500	187500	187500
39	187500	187500	5332.58984375	-5815.67822265625	187500	187500	187500	187500
40	187500	187500	5315.84814453125	-5848.1328125	187500	187500	187500	187500
41	187500	187500	5306.30419921875	-5869.3447265625	187500	187500	187500	187500
42	187500	187500	5299.66552734375	-5860.64990234375	187500	187500	187500	187500
43	187500	187500	5306.66162109375	-5849.09375	187500	187500	187500	187500
44	187500	187500	5314.1943359375	-5854.83837890625	187500	187500	187500	187500
45	187500	187500	5308.24853515625	-5858.6826171875	187500	187500	187500	187500
46	187500	187500	5305.365234375	-5847.86474609375	187500	187500	187500	187500
47	187500	187500	5324.54296875	-5828.23974609375	187500	187500	187500	187500
48	187500	187500	5336.3671875	-5817.42138671875	187500	187500	187500	187500
49	187500	187500	5317.32373046875	-5817.19775390625	187500	187500	187500	187500
50	187500	187500	5321.03369140625	-5814.9404296875	187500	187500	187500	187500
51	187500	187500	5325.28076171875	-5780.07177734375	187500	187500	187500	187500
52	187500	187500	5306.7958984375	-5772.82958984375	187500	187500	187500	187500
53	187500	187500	5291.08251953125	-5787.62646484375	187500	187500	187500	187500
54	187500	187500	5294.033203125	-5773.88037109375	187500	187500	187500	187500
55	187500	187500	5320.5419921875	-5743.07958984375	187500	187500	187500	187500
56	187500	187500	5352.25927734375	-5719.744140625	187500	187500	187500	187500
57	187500	187500	5364.150390625	-5704.12060546875	187500	187500	187500	187500
58	187500	187500	5361.9150390625	-5689.27880859375	187500	187500	187500	187500
59	187500	187500	5374.25341796875	-5657.830078125	187500	187500	187500	187500
60	187500	187500	5404.0927734375	-5635.76904296875	187500	187500	187500	187500
61	187500	187500	5407.580078125	-5636.595703125	187500	187500	187500	187500
62	187500	187500	5399.62255859375	-5626.33642578125	187500	187500	187500	187500
63	187500	187500	5407.9599609375	-5603.33642578125	187500	187500	187500	187500
64	187500	187500	5423.98583984375	-5584.8291015625	187500	187500	187500	187500
65	187500	187500	5423.67333984375	-5599.15673828125	187500	187500	187500	187500
66	187500	187500	5409.79248046875	-5603.58251953125	187500	187500	187500	187500
67	187500	187500	5434.6923828125	-5579.97900390625	187500	187500	187500	187500
68	187500	187500	5477.02685546875	-5552.888671875	187500	187500	187500	187500
69	187500	187500	5489.4541015625	-5555.57080078125	187500	187500	187500	187500
70	187500	187500	5479.865234375	-5570.8818359375	187500	187500	187500	187500
71	187500	187500	5477.76416015625	-5560.48828125	187500	187500	187500	187500
72	187500	187500	5497.27734375	-5553.76025390625	187500	187500	187500	187500
73	187500	187500	5510.4423828125	-5564.91357421875	187500	187500	187500	187500
74	187500	187500	5504.16162109375	-5583.33154296875	187500	187500	187500	187500
75	187500	187500	5504.072265625	-5571.306640625	187500	187500	187500	187500
76	187500	187500	5511.515625	-5557.4482421875	187500	187500	187500	187500
77	187500	187500	5518.66796875	-5569.78662109375	187500	187500	187500	187500
78	187500	187500	5521.59619140625	-5591.2666015625	187500	187500	187500	187500
79	187500	187500	5519.33837890625	-5595.78173828125	187500	187500	187500	187500
80	187500	187500	5525.462890625	-5581.0966796875	187500	187500	187500	187500
81	187500	187500	5526.80419921875	-5592.2275390625	187500	187500	187500	187500
82	187500	187500	5516.18701171875	-5612.6796875	187500	187500	187500	187500
83	187500	187500	5510.8447265625	-5605.6611328125	187500	187500	187500	187500
84	187500	187500	5515.98583984375	-5583.48828125	187500	187500	187500	187500
85	187500	187500	5522.17724609375	-5582.32568359375	187500	187500	187500	187500
86	187500	187500	5518.2880859375	-5593.77001953125	187500	187500	187500	187500
87	187500	187500	5511.18017578125	-5594.10498046875	187500	187500	187500	187500
88	187500	187500	5514.5107421875	-5571.060546875	187500	187500	187500	187500
89	187500	187500	5532.41455078125	-5555.12353515625	187500	187500	187500	187500
90	187500	187500	5530.291015625	-5568.40087890625	187500	187500	187500	187500
91	187500	187500	5515.82958984375	-5576.6708984375	187500	187500	187500	187500
92	187500	187500	5504.58642578125	-5562.0302734375	187500	187500	187500	187500
93	187500	187500	5503.5361328125	-5552.1064453125	187500	187500	187500	187500
94	187500	187500	5501.2783203125	-5566.8134765625	187500	187500	187500	187500
95	187500	187500	5487.3310546875	-5579.2412109375	187500	187500	187500	187500
96	187500	187500	5477.7197265625	-5568.35595703125	187500	187500	187500	187500
97	187500	187500	5491.0634765625	-5547.0771484375	187500	187500	187500	187500
98	187500	187500	5498.39501953125	-5550.81005859375	187500	187500	187500	187500
99	187500	187500	5488.60498046875	-5565.271484375	187500	187500	187500	187500
100	187500	187500	5475.6630859375	-5556.62109375	187500	187500	187500	187500
101	187500	187500	5477.25048828125	-5541.35498046875	187500	187500	187500	187500
102	187500	187500	5485.85546875	-5550.876953125	187500	187500	187500	187500
103	187500	187500	5475.21630859375	-5573.96630859375	187500	187500	187500	187500
104	187500	187500	5465.98486328125	-5572.87109375	187500	187500	187500	187500
105	187500	187500	5494.259765625	-5537.8681640625	187500	187500	187500	187500
106	187500	187500	5505.63720703125	-5535.87890625	187500	187500	187500	187500
107	187500	187500	5500.7197265625	-5559.8623046875	187500	187500	187500	187500
108	187500	187500	5494.41650390625	-5564.77978515625	187500	187500	187500	187500
109	187500	187500	5497.4560546875	-5543.9033203125	187500	187500	187500	187500
110	187500	187500	5508.6767578125	-5538.38232421875	187500	187500	187500	187500
111	187500	187500	5507.17919921875	-5557.33642578125	187500	187500	187500	187500
112	187500	187500	5489.61083984375	-5566.56787109375	187500	187500	187500	187500
113	187500	187500	5488.02392578125	-5552.37451171875	187500	187500	187500	187500
114	187500	187500	5503.82666015625	-5540.103515625	187500	187500	187500	187500
115	187500	187500	5517.2822265625	-5541.62353515625	187500	187500	187500	187500
116	187500	187500	5508.74365234375	-5543.21044921875	187500	187500	187500	187500
117	187500	187500	5507.8720703125	-5528.59228515625	187500	187500	187500	187500
118	187500	187500	5516.14208984375	-5519.56201171875	187500	187500	187500	187500
119	187500	187500	5525.4404296875	-5522.93701171875	187500	187500	187500	187500
120	187500	187500	5526.55810546875	-5530.6708984375	187500	187500	187500	187500
121	187500	187500	5511.6943359375	-5543.6796875	187500	187500	187500	187500
122	187500	187500	5510.04052734375	-5546.6298828125	187500	187500	187500	187500
123	187500	187500	5516.14208984375	-5566.8359375	187500	187500	187500	187500
