250
9
Frame	CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8
0	187500	187500	6986.373046875	-4880.34716796875	187500	187500	187500	187500
1	187500	187500	6987.9150390625	-4875.27294921875	187500	187500	187500	187500
2	187500	187500	6958.3662109375	-4895.52392578125	187500	187500	187500	187500
3	187500	187500	6958.43310546875	-4890.1591796875	187500	187500	187500	187500
4	187500	187500	6979.533203125	-4869.0146484375	187500	187500	187500	187500
5	187500	187500	6986.9541015625	-4860.029296875	187500	187500	187500	187500
6	187500	187500	6954.72314453125	-4883.11865234375	187500	187500	187500	187500
7	187500	187500	6925.30810546875	-4899.7705078125	187500	187500	187500	187500
8	187500	187500	6944.30712890625	-4886.0244140625	187500	187500	187500	187500
9	187500	187500	6972.67138671875	-4871.71923828125	187500	187500	187500	187500
10	187500	187500	6959.26025390625	-4889.48876953125	187500	187500	187500	187500
11	187500	187500	6919.69775390625	-4911.7958984375	187500	187500	187500	187500
12	187500	187500	6905.10205078125	-4911.03564453125	187500	187500	187500	187500
13	187500	187500	6917.66357421875	-4892.12646484375	187500	187500	187500	187500
14	187500	187500	6911.0029296875	-4891.85791015625	187500	187500	187500	187500
15	187500	187500	6890.998046875	-4910.49951171875	187500	187500	187500	187500
16	187500	187500	6900.8330078125	-4910.11962890625	187500	187500	187500	187500
17	187500	187500	6926.984375	-4883.05126953125	187500	187500	187500	187500
18	187500	187500	6932.30419921875	-4881.5986328125	187500	187500	187500	187500
19	187500	187500	6915.29443359375	-4904.77734375	187500	187500	187500	187500
20	187500	187500	6924.0341796875	-4900.0390625	187500	187500	187500	187500
21	187500	187500	6945.0224609375	-4881.419921875	187500	187500	187500	187500
22	187500	187500	6936.26025390625	-4888.1923828125	187500	187500	187500	187500
23	187500	187500	6919.29541015625	-4906.25244140625	187500	187500	187500	187500
24	187500	187500	6922.93896484375	-4901	187500	187500	187500	187500
25	187500	187500	6933.89111328125	-4897.08837890625	187500	187500	187500	187500
26	187500	187500	6936.55078125	-4897.33447265625	187500	187500	187500	187500
27	187500	187500	6916.5908203125	-4908.1748046875	187500	187500	187500	187500
28	187500	187500	6906.06298828125	-4911.72900390625	187500	187500	187500	187500
29	187500	187500	6917.8427734375	-4900.396484375	187500	187500	187500	187500
30	187500	187500	6930.33740234375	-4892.1484375	187500	187500	187500	187500
31	187500	187500	6913.751953125	-4904.5537109375	187500	187500	187500	187500
32	187500	187500	6893.92626953125	-4923.2177734375	187500	187500	187500	187500
33	187500	187500	6900.564453125	-4914.52294921875	187500	187500	187500	187500
34	187500	187500	6910.89111328125	-4906.4091796875	187500	187500	187500	187500
35	187500	187500	6907.73974609375	-4914.72412109375	187500	187500	187500	187500
36	187500	187500	6891.35595703125	-4923.59765625	187500	187500	187500	187500
37	187500	187500	6903.6494140625	-4908.13037109375	187500	187500	187500	187500
38	187500	187500	6927.1630859375	-4892.953125	187500	187500	187500	187500
39	187500	187500	6909.48291015625	-4911.974609375	187500	187500	187500	187500
40	187500	187500	6894.8203125	-4928.9619140625	187500	187500	187500	187500
41	187500	187500	6908.65576171875	-4923.2177734375	187500	187500	187500	187500
42	187500	187500	6928.146484375	-4908.15234375	187500	187500	187500	187500
43	187500	187500	6909.013671875	-4914.85791015625	187500	187500	187500	187500
44	187500	187500	6875.8662109375	-4937.03076171875	187500	187500	187500	187500
45	187500	187500	6876.35791015625	-4937.25439453125	187500	187500	187500	187500
46	187500	187500	6901.8388671875	-4917.40625	187500	187500	187500	187500
47	187500	187500	6910.9580078125	-4922.0107421875	187500	187500	187500	187500
48	187500	187500	6880.828125	-4947.1337890625	187500	187500	187500	187500
49	187500	187500	6899.11181640625	-4934.37109375	187500	187500	187500	187500
50	187500	187500	6944.86572265625	-4900.3740234375	187500	187500	187500	187500
51	187500	187500	6957.337890625	-4893.6015625	187500	187500	187500	187500
52	187500	187500	6937.93701171875	-4918.7470703125	187500	187500	187500	187500
53	187500	187500	6937.33349609375	-4931.28662109375	187500	187500	187500	187500
54	187500	187500	6969.3408203125	-4916.51220703125	187500	187500	187500	187500
55	187500	187500	6977.521484375	-4907.07958984375	187500	187500	187500	187500
56	187500	187500	6963.66357421875	-4921.85400390625	187500	187500	187500	187500
57	187500	187500	6951.92919921875	-4930.03466796875	187500	187500	187500	187500
58	187500	187500	6959.6181640625	-4919.41796875	187500	187500	187500	187500
59	187500	187500	6973.90087890625	-4918.25537109375	187500	187500	187500	187500
60	187500	187500	6965.2060546875	-4932.47119140625	187500	187500	187500	187500
61	187500	187500	6951.07958984375	-4941.90380859375	187500	187500	187500	187500
62	187500	187500	6974.146484375	-4920.78125	187500	187500	187500	187500
63	187500	187500	6982.193359375	-4908.46533203125	187500	187500	187500	187500
64	187500	187500	6961.69677734375	-4921.1611328125	187500	187500	187500	187500
65	187500	187500	6940.08251953125	-4933.1865234375	187500	187500	187500	187500
66	187500	187500	6952.13037109375	-4923.23974609375	187500	187500	187500	187500
67	187500	187500	6979.84619140625	-4906.2080078125	187500	187500	187500	187500
68	187500	187500	6991.15625	-4904.017578125	187500	187500	187500	187500
69	187500	187500	6958.34375	-4925.65380859375	187500	187500	187500	187500
70	187500	187500	6963.26123046875	-4919.52978515625	187500	187500	187500	187500
71	187500	187500	6996.5654296875	-4897.8037109375	187500	187500	187500	187500
72	187500	187500	7005.84130859375	-4892.8193359375	187500	187500	187500	187500
73	187500	187500	6991.71484375	-4905.5595703125	187500	187500	187500	187500
74	187500	187500	6983.400390625	-4909.64990234375	187500	187500	187500	187500
75	187500	187500	6997.03466796875	-4904.3974609375	187500	187500	187500	187500
76	187500	187500	6999.9404296875	-4900.66455078125	187500	187500	187500	187500
77	187500	187500	6990.26220703125	-4900.9775390625	187500	187500	187500	187500
78	187500	187500	6992.1396484375	-4908.755859375	187500	187500	187500	187500
79	187500	187500	7015.47509765625	-4899.6142578125	187500	187500	187500	187500
80	187500	187500	7024.99658203125	-4899.25634765625	187500	187500	187500	187500
81	187500	187500	7003.62841796875	-4921.33984375	187500	187500	187500	187500
82	187500	187500	6986.01513671875	-4937.12060546875	187500	187500	187500	187500
83	187500	187500	7006.9814453125	-4920.71435546875	187500	187500	187500	187500
84	187500	187500	7034.02685546875	-4901.49169921875	187500	187500	187500	187500
85	187500	187500	7016.45849609375	-4913.986328125	187500	187500	187500	187500
86	187500	187500	6996.5654296875	-4927.48681640625	187500	187500	187500	187500
87	187500	187500	7021.7783203125	-4905.5595703125	187500	187500	187500	187500
88	187500	187500	7041.20166015625	-4890.025390625	187500	187500	187500	187500
89	187500	187500	7025.80126953125	-4904.44189453125	187500	187500	187500	187500
90	187500	187500	7001.50537109375	-4924.9384765625	187500	187500	187500	187500
91	187500	187500	7005.84130859375	-4908.9794921875	187500	187500	187500	187500
92	187500	187500	7039.65966796875	-4881.21875	187500	187500	187500	187500
93	187500	187500	7047.43798828125	-4880.74951171875	187500	187500	187500	187500
94	187500	187500	7026.583984375	-4902.29638671875	187500	187500	187500	187500
95	187500	187500	7027.34375	-4903.5927734375	187500	187500	187500	187500
96	187500	187500	7052.109375	-4876.5693359375	187500	187500	187500	187500
97	187500	187500	7050.99169921875	-4870.53466796875	187500	187500	187500	187500
98	187500	187500	7020.41455078125	-4898.29541015625	187500	187500	187500	187500
99	187500	187500	7008.3447265625	-4903.45849609375	187500	187500	187500	187500
