250
9
Frame	CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8
0	187500	187500	11280.6572265625	-381.231353759766	187500	187500	187500	187500
1	187500	187500	11278.8916015625	-391.624908447266	187500	187500	187500	187500
2	187500	187500	11286.8037109375	-389.613250732422	187500	187500	187500	187500
3	187500	187500	11282.4453125	-392.630737304688	187500	187500	187500	187500
4	187500	187500	11273.52734375	-397.682250976563	187500	187500	187500	187500
5	187500	187500	11267.4248046875	-399.068054199219	187500	187500	187500	187500
6	187500	187500	11260.5185546875	-391.803741455078	187500	187500	187500	187500
7	187500	187500	11256.025390625	-390.462615966797	187500	187500	187500	187500
8	187500	187500	11264.8544921875	-395.782348632813	187500	187500	187500	187500
9	187500	187500	11261.61328125	-408.478118896484	187500	187500	187500	187500
10	187500	187500	11253.455078125	-423.654968261719	187500	187500	187500	187500
11	187500	187500	11257.3447265625	-421.688018798828	187500	187500	187500	187500
12	187500	187500	11248.0458984375	-426.404235839844	187500	187500	187500	187500
13	187500	187500	11238.5244140625	-428.304138183594	187500	187500	187500	187500
14	187500	187500	11225.1806640625	-435.411987304688	187500	187500	187500	187500
15	187500	187500	11227.0126953125	-435.970764160156	187500	187500	187500	187500
16	187500	187500	11227.19140625	-455.349731445313	187500	187500	187500	187500
17	187500	187500	11201.3974609375	-484.675231933594	187500	187500	187500	187500
18	187500	187500	11194.6474609375	-487.580963134766	187500	187500	187500	187500
19	187500	187500	11188.7470703125	-484.317596435547	187500	187500	187500	187500
20	187500	187500	11175.4033203125	-492.610107421875	187500	187500	187500	187500
21	187500	187500	11154.548828125	-513.955993652344	187500	187500	187500	187500
22	187500	187500	11137.1142578125	-540.755737304688	187500	187500	187500	187500
23	187500	187500	11140.2880859375	-547.885986328125	187500	187500	187500	187500
24	187500	187500	11148.7822265625	-546.544860839844	187500	187500	187500	187500
25	187500	187500	11134.2978515625	-555.686706542969	187500	187500	187500	187500
26	187500	187500	11110.60546875	-566.52734375	187500	187500	187500	187500
27	187500	187500	11091.8076171875	-584.766357421875	187500	187500	187500	187500
28	187500	187500	11080.162109375	-589.773132324219	187500	187500	187500	187500
29	187500	187500	11082.5087890625	-584.185180664063	187500	187500	187500	187500
30	187500	187500	11079.447265625	-590.778930664063	187500	187500	187500	187500
31	187500	187500	11061.9453125	-597.998596191406	187500	187500	187500	187500
32	187500	187500	11063.0185546875	-597.663269042969	187500	187500	187500	187500
33	187500	187500	11073.4560546875	-608.436828613281	187500	187500	187500	187500
34	187500	187500	11073.166015625	-614.494140625	187500	187500	187500	187500
35	187500	187500	11049.1826171875	-622.965454101563	187500	187500	187500	187500
36	187500	187500	11016.7724609375	-640.265747070313	187500	187500	187500	187500
37	187500	187500	11002.400390625	-643.551452636719	187500	187500	187500	187500
38	187500	187500	10997.9970703125	-655.308471679688	187500	187500	187500	187500
39	187500	187500	10995.001953125	-670.284118652344	187500	187500	187500	187500
40	187500	187500	10995.11328125	-666.841918945313	187500	187500	187500	187500
41	187500	187500	10991.3134765625	-659.868225097656	187500	187500	187500	187500
42	187500	187500	10984.33984375	-675.804992675781	187500	187500	187500	187500
43	187500	187500	10974.5048828125	-682.018798828125	187500	187500	187500	187500
44	187500	187500	10966.615234375	-681.348205566406	187500	187500	187500	187500
45	187500	187500	10963.4638671875	-689.8642578125	187500	187500	187500	187500
46	187500	187500	10958.6806640625	-703.118835449219	187500	187500	187500	187500
47	187500	187500	10961.4072265625	-728.353942871094	187500	187500	187500	187500
48	187500	187500	10941.40234375	-754.348999023438	187500	187500	187500	187500
49	187500	187500	10895.08984375	-773.839721679688	187500	187500	187500	187500
50	187500	187500	10855.4150390625	-800.10302734375	187500	187500	187500	187500
51	187500	187500	10828.9736328125	-825.137023925781	187500	187500	187500	187500
52	187500	187500	10805.4140625	-842.973693847656	187500	187500	187500	187500
53	187500	187500	10782.2353515625	-858.284606933594	187500	187500	187500	187500
54	187500	187500	10770.970703125	-866.934753417969	187500	187500	187500	187500
55	187500	187500	10760.6435546875	-902.719909667969	187500	187500	187500	187500
56	187500	187500	10746.6962890625	-938.303894042969	187500	187500	187500	187500
57	187500	187500	10724.12109375	-940.807250976563	187500	187500	187500	187500
58	187500	187500	10704.0048828125	-945.970520019531	187500	187500	187500	187500
59	187500	187500	10686.81640625	-984.907287597656	187500	187500	187500	187500
60	187500	187500	10677.00390625	-1017.71960449219	187500	187500	187500	187500
61	187500	187500	10656.328125	-1034.34936523438	187500	187500	187500	187500
62	187500	187500	10637.306640625	-1043.96057128906	187500	187500	187500	187500
63	187500	187500	10622.3984375	-1055.04699707031	187500	187500	187500	187500
64	187500	187500	10601.2978515625	-1065.64172363281	187500	187500	187500	187500
65	187500	187500	10578.0078125	-1079.18688964844	187500	187500	187500	187500
66	187500	187500	10557.466796875	-1101.82922363281	187500	187500	187500	187500
67	187500	187500	10550.6044921875	-1108.53479003906	187500	187500	187500	187500
68	187500	187500	10540.8818359375	-1111.90991210938	187500	187500	187500	187500
69	187500	187500	10511.4443359375	-1133.90405273438	187500	187500	187500	187500
70	187500	187500	10466.4501953125	-1182.83190917969	187500	187500	187500	187500
71	187500	187500	10424.8984375	-1222.84155273438	187500	187500	187500	187500
72	187500	187500	10383.2119140625	-1249.99890136719	187500	187500	187500	187500
73	187500	187500	10341.7724609375	-1286.34289550781	187500	187500	187500	187500
74	187500	187500	10294.3642578125	-1324.87731933594	187500	187500	187500	187500
75	187500	187500	10247.3359375	-1362.517578125	187500	187500	187500	187500
76	187500	187500	10195.099609375	-1412.16088867188	187500	187500	187500	187500
77	187500	187500	10143.5341796875	-1460.44067382813	187500	187500	187500	187500
78	187500	187500	10109.134765625	-1493.36474609375	187500	187500	187500	187500
79	187500	187500	10065.728515625	-1526.82531738281	187500	187500	187500	187500
80	187500	187500	10024.2880859375	-1555.18969726563	187500	187500	187500	187500
81	187500	187500	9990.5146484375	-1584.87280273438	187500	187500	187500	187500
82	187500	187500	9955.421875	-1620.88146972656	187500	187500	187500	187500
83	187500	187500	9923.1240234375	-1654.54321289063	187500	187500	187500	187500
84	187500	187500	9907.4326171875	-1682.41577148438	187500	187500	187500	187500
85	187500	187500	9887.9423828125	-1713.17175292969	187500	187500	187500	187500
86	187500	187500	9868.697265625	-1734.36120605469	187500	187500	187500	187500
87	187500	187500	9838.4775390625	-1763.21740722656	187500	187500	187500	187500
88	187500	187500	9801.0615234375	-1798.5107421875	187500	187500	187500	187500
89	187500	187500	9770.193359375	-1835.23474121094	187500	187500	187500	187500
90	187500	187500	9742.72265625	-1865.85656738281	187500	187500	187500	187500
91	187500	187500	9720.3486328125	-1889.92944335938	187500	187500	187500	187500
92	187500	187500	9704.703125	-1911.27526855469	187500	187500	187500	187500
93	187500	187500	9676.2265625	-1944.40063476563	187500	187500	187500	187500
94	187500	187500	9639.234375	-1977.4365234375	187500	187500	187500	187500
95	187500	187500	9611.65234375	-2006.001953125	187500	187500	187500	187500
96	187500	187500	9587.6689453125	-2034.29931640625	187500	187500	187500	187500
97	187500	187500	9563.841796875	-2060.36157226563	187500	187500	187500	187500
98	187500	187500	9531.41015625	-2091.34106445313	187500	187500	187500	187500
99	187500	187500	9502.7548828125	-2122.1640625	187500	187500	187500	187500
100	187500	187500	9492.5849609375	-2142.63818359375	187500	187500	187500	187500
101	187500	187500	9474.9716796875	-2169.50512695313	187500	187500	187500	187500
102	187500	187500	9446.5400390625	-2210.20751953125	187500	187500	187500	187500
103	187500	187500	9414.8681640625	-2255.00048828125	187500	187500	187500	187500
104	187500	187500	9372.17578125	-2304.04028320313	187500	187500	187500	187500
105	187500	187500	9336.748046875	-2344.11694335938	187500	187500	187500	187500
106	187500	187500	9295.0849609375	-2382.2265625	187500	187500	187500	187500
107	187500	187500	9273.58203125	-2407.08178710938	187500	187500	187500	187500
108	187500	187500	9258.919921875	-2431.19921875	187500	187500	187500	187500
109	187500	187500	9238.1552734375	-2459.07177734375	187500	187500	187500	187500
110	187500	187500	9197.876953125	-2501.65185546875	187500	187500	187500	187500
111	187500	187500	9164.505859375	-2542.64501953125	187500	187500	187500	187500
112	187500	187500	9129.3017578125	-2582.60986328125	187500	187500	187500	187500
113	187500	187500	9098.7919921875	-2610.46020507813	187500	187500	187500	187500
114	187500	187500	9063.2744140625	-2646.82641601563	187500	187500	187500	187500
115	187500	187500	9033.1220703125	-2691.70874023438	187500	187500	187500	187500
116	187500	187500	9009.4521484375	-2731.13720703125	187500	187500	187500	187500
