250
9
Frame	CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8
0	187500	187500	-9160.7734375	-9099.6630859375	187500	187500	187500	187500
1	187500	187500	-9175.369140625	-9115.8017578125	187500	187500	187500	187500
2	187500	187500	-9174.921875	-9104.55859375	187500	187500	187500	187500
3	187500	187500	-9164.505859375	-9087.19140625	187500	187500	187500	187500
4	187500	187500	-9160.3037109375	-9090.9912109375	187500	187500	187500	187500
5	187500	187500	-9175.8828125	-9108.3583984375	187500	187500	187500	187500
6	187500	187500	-9181.4931640625	-9111.7333984375	187500	187500	187500	187500
7	187500	187500	-9162.337890625	-9094.0087890625	187500	187500	187500	187500
8	187500	187500	-9153.1064453125	-9082.8330078125	187500	187500	187500	187500
9	187500	187500	-9166.9873046875	-9090.208984375	187500	187500	187500	187500
10	187500	187500	-9169.1103515625	-9093.3603515625	187500	187500	187500	187500
11	187500	187500	-9144.8359375	-9074.6298828125	187500	187500	187500	187500
12	187500	187500	-9126.2841796875	-9063.095703125	187500	187500	187500	187500
13	187500	187500	-9138.2646484375	-9066.8955078125	187500	187500	187500	187500
14	187500	187500	-9161.130859375	-9076.841796875	187500	187500	187500	187500
15	187500	187500	-9172.41796875	-9079.0771484375	187500	187500	187500	187500
16	187500	187500	-9175.771484375	-9074.919921875	187500	187500	187500	187500
17	187500	187500	-9187.1708984375	-9079.0771484375	187500	187500	187500	187500
18	187500	187500	-9188.8466796875	-9070.830078125	187500	187500	187500	187500
19	187500	187500	-9180.9794921875	-9055.6083984375	187500	187500	187500	187500
20	187500	187500	-9169.9599609375	-9043.716796875	187500	187500	187500	187500
21	187500	187500	-9173.021484375	-9046.3994140625	187500	187500	187500	187500
22	187500	187500	-9176.53125	-9054.1103515625	187500	187500	187500	187500
23	187500	187500	-9164.0361328125	-9041.2802734375	187500	187500	187500	187500
24	187500	187500	-9153.330078125	-9025.544921875	187500	187500	187500	187500
25	187500	187500	-9161.1533203125	-9029.009765625	187500	187500	187500	187500
26	187500	187500	-9171.814453125	-9038.732421875	187500	187500	187500	187500
27	187500	187500	-9170.6748046875	-9039.6708984375	187500	187500	187500	187500
28	187500	187500	-9156.0341796875	-9024.6064453125	187500	187500	187500	187500
29	187500	187500	-9160.9072265625	-9027.466796875	187500	187500	187500	187500
30	187500	187500	-9174.966796875	-9040.3642578125	187500	187500	187500	187500
31	187500	187500	-9169.333984375	-9036.162109375	187500	187500	187500	187500
32	187500	187500	-9151.67578125	-9020.2255859375	187500	187500	187500	187500
33	187500	187500	-9141.3046875	-9013.921875	187500	187500	187500	187500
34	187500	187500	-9155.85546875	-9025.09765625	187500	187500	187500	187500
35	187500	187500	-9158.2919921875	-9028.607421875	187500	187500	187500	187500
36	187500	187500	-9148.1669921875	-9022.416015625	187500	187500	187500	187500
37	187500	187500	-9142.2431640625	-9013.810546875	187500	187500	187500	187500
38	187500	187500	-9151.7431640625	-9020.8515625	187500	187500	187500	187500
39	187500	187500	-9164.5283203125	-9030.8203125	187500	187500	187500	187500
40	187500	187500	-9149.5751953125	-9015.6435546875	187500	187500	187500	187500
41	187500	187500	-9139.740234375	-9008.490234375	187500	187500	187500	187500
