250
9
Frame	CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8
0	187500	187500	-4046.6044921875	54.7841262817383	187500	187500	187500	187500
1	187500	187500	-4050.71728515625	51.0066795349121	187500	187500	187500	187500
2	187500	187500	-4051.34301757813	53.1524467468262	187500	187500	187500	187500
3	187500	187500	-4048.34790039063	61.0426139831543	187500	187500	187500	187500
4	187500	187500	-4047.6328125	56.6169700622559	187500	187500	187500	187500
5	187500	187500	-4057.31103515625	48.4809341430664	187500	187500	187500	187500
6	187500	187500	-4056.32763671875	50.1796646118164	187500	187500	187500	187500
7	187500	187500	-4052.52783203125	55.7452507019043	187500	187500	187500	187500
8	187500	187500	-4051.1865234375	62.2496070861816	187500	187500	187500	187500
9	187500	187500	-4054.07006835938	60.6402816772461	187500	187500	187500	187500
10	187500	187500	-4064.84350585938	53.197151184082	187500	187500	187500	187500
11	187500	187500	-4072.15258789063	55.0746994018555	187500	187500	187500	187500
12	187500	187500	-4070.94555664063	54.7170715332031	187500	187500	187500	187500
13	187500	187500	-4068.62109375	47.899787902832	187500	187500	187500	187500
14	187500	187500	-4065.93872070313	45.5305023193359	187500	187500	187500	187500
15	187500	187500	-4064.8212890625	46.715145111084	187500	187500	187500	187500
16	187500	187500	-4065.71533203125	45.3740425109863	187500	187500	187500	187500
17	187500	187500	-4066.43041992188	44.3011589050293	187500	187500	187500	187500
18	187500	187500	-4075.08056640625	41.2613220214844	187500	187500	187500	187500
19	187500	187500	-4074.92407226563	43.6529579162598	187500	187500	187500	187500
20	187500	187500	-4071.8173828125	46.0669441223145	187500	187500	187500	187500
21	187500	187500	-4071.30322265625	46.6704406738281	187500	187500	187500	187500
22	187500	187500	-4072.08544921875	40.2778434753418	187500	187500	187500	187500
23	187500	187500	-4069.58203125	42.490665435791	187500	187500	187500	187500
24	187500	187500	-4071.95141601563	40.9260444641113	187500	187500	187500	187500
25	187500	187500	-4072.68896484375	39.5402374267578	187500	187500	187500	187500
26	187500	187500	-4072.91259765625	38.6908683776855	187500	187500	187500	187500
27	187500	187500	-4085.18359375	28.6325855255127	187500	187500	187500	187500
28	187500	187500	-4081.9873046875	28.6325855255127	187500	187500	187500	187500
29	187500	187500	-4078.45581054688	30.6665935516357	187500	187500	187500	187500
30	187500	187500	-4060.77563476563	38.9590911865234	187500	187500	187500	187500
31	187500	187500	-4046.47045898438	55.6334915161133	187500	187500	187500	187500
32	187500	187500	-4062.56372070313	58.8744964599609	187500	187500	187500	187500
33	187500	187500	-4087.32934570313	45.3293380737305	187500	187500	187500	187500
34	187500	187500	-4089.43041992188	49.7996864318848	187500	187500	187500	187500
35	187500	187500	-4091.86669921875	61.534351348877	187500	187500	187500	187500
36	187500	187500	-4097.1640625	67.2564010620117	187500	187500	187500	187500
37	187500	187500	-4109.748046875	70.787971496582	187500	187500	187500	187500
38	187500	187500	-4124.29931640625	69.8939056396484	187500	187500	187500	187500
39	187500	187500	-4123.91943359375	74.7442321777344	187500	187500	187500	187500
40	187500	187500	-4119.91845703125	84.735466003418	187500	187500	187500	187500
41	187500	187500	-4115.87255859375	88.9599456787109	187500	187500	187500	187500
42	187500	187500	-4117.1689453125	82.9920272827148	187500	187500	187500	187500
43	187500	187500	-4125.9755859375	82.1650161743164	187500	187500	187500	187500
44	187500	187500	-4128.68017578125	82.1426620483398	187500	187500	187500	187500
45	187500	187500	-4133.66455078125	78.8569564819336	187500	187500	187500	187500
46	187500	187500	-4130.177734375	79.1028213500977	187500	187500	187500	187500
47	187500	187500	-4127.361328125	77.6276092529297	187500	187500	187500	187500
48	187500	187500	-4125.1708984375	76.0182800292969	187500	187500	187500	187500
49	187500	187500	-4125.7744140625	76.7558898925781	187500	187500	187500	187500
