250
9
Frame	CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8
0	187500	187500	-7489.57763671875	-7194.8701171875	187500	187500	187500	187500
1	187500	187500	-7487.96826171875	-7199.6982421875	187500	187500	187500	187500
2	187500	187500	-7489.22021484375	-7195.56298828125	187500	187500	187500	187500
3	187500	187500	-7488.46044921875	-7195.8984375	187500	187500	187500	187500
4	187500	187500	-7492.59521484375	-7200.2119140625	187500	187500	187500	187500
5	187500	187500	-7495.9033203125	-7195.13818359375	187500	187500	187500	187500
6	187500	187500	-7496.81982421875	-7195.853515625	187500	187500	187500	187500
7	187500	187500	-7497.02099609375	-7201.642578125	187500	187500	187500	187500
8	187500	187500	-7497.60205078125	-7208.34814453125	187500	187500	187500	187500
9	187500	187500	-7489.3095703125	-7202.60400390625	187500	187500	187500	187500
10	187500	187500	-7493.98095703125	-7203.11767578125	187500	187500	187500	187500
11	187500	187500	-7492.7294921875	-7200.32373046875	187500	187500	187500	187500
12	187500	187500	-7485.30859375	-7200.39111328125	187500	187500	187500	187500
13	187500	187500	-7486.02392578125	-7204.79443359375	187500	187500	187500	187500
14	187500	187500	-7490.18115234375	-7204.59326171875	187500	187500	187500	187500
15	187500	187500	-7489.37646484375	-7203.2294921875	187500	187500	187500	187500
16	187500	187500	-7488.3037109375	-7207.8564453125	187500	187500	187500	187500
17	187500	187500	-7489.97998046875	-7213.35498046875	187500	187500	187500	187500
18	187500	187500	-7487.767578125	-7207.2978515625	187500	187500	187500	187500
19	187500	187500	-7483.5205078125	-7201.97802734375	187500	187500	187500	187500
20	187500	187500	-7480.5703125	-7204.16845703125	187500	187500	187500	187500
21	187500	187500	-7479.5419921875	-7202.93896484375	187500	187500	187500	187500
22	187500	187500	-7478.4912109375	-7195.853515625	187500	187500	187500	187500
23	187500	187500	-7478.7373046875	-7193.77490234375	187500	187500	187500	187500
24	187500	187500	-7485.107421875	-7196.45703125	187500	187500	187500	187500
25	187500	187500	-7490.29296875	-7201.53076171875	187500	187500	187500	187500
26	187500	187500	-7486.85107421875	-7199.76513671875	187500	187500	187500	187500
27	187500	187500	-7485.62158203125	-7199.40771484375	187500	187500	187500	187500
28	187500	187500	-7479.9443359375	-7195.294921875	187500	187500	187500	187500
29	187500	187500	-7485.19677734375	-7202.58154296875	187500	187500	187500	187500
30	187500	187500	-7485.39794921875	-7201.77685546875	187500	187500	187500	187500
31	187500	187500	-7481.77685546875	-7200.36865234375	187500	187500	187500	187500
32	187500	187500	-7483.38623046875	-7199.2958984375	187500	187500	187500	187500
33	187500	187500	-7480.525390625	-7198.33447265625	187500	187500	187500	187500
34	187500	187500	-7480.18994140625	-7199.474609375	187500	187500	187500	187500
35	187500	187500	-7482.98388671875	-7199.98876953125	187500	187500	187500	187500
36	187500	187500	-7482.73828125	-7197.4853515625	187500	187500	187500	187500
37	187500	187500	-7485.86767578125	-7202.849609375	187500	187500	187500	187500
38	187500	187500	-7489.1083984375	-7209.51025390625	187500	187500	187500	187500
39	187500	187500	-7485.912109375	-7200.63671875	187500	187500	187500	187500
40	187500	187500	-7483.3642578125	-7202.0224609375	187500	187500	187500	187500
41	187500	187500	-7478.06689453125	-7202.35791015625	187500	187500	187500	187500
42	187500	187500	-7477.3515625	-7198.58056640625	187500	187500	187500	187500
43	187500	187500	-7477.1279296875	-7200.36865234375	187500	187500	187500	187500
44	187500	187500	-7480.03369140625	-7202.08984375	187500	187500	187500	187500
45	187500	187500	-7477.91015625	-7202.53662109375	187500	187500	187500	187500
46	187500	187500	-7478.0888671875	-7205.75537109375	187500	187500	187500	187500
47	187500	187500	-7474.84814453125	-7202.4697265625	187500	187500	187500	187500
48	187500	187500	-7484.19091796875	-7208.34814453125	187500	187500	187500	187500
49	187500	187500	-7483.38623046875	-7207.74462890625	187500	187500	187500	187500
50	187500	187500	-7480.9501953125	-7209.17529296875	187500	187500	187500	187500
51	187500	187500	-7483.9677734375	-7213.55615234375	187500	187500	187500	187500
52	187500	187500	-7486.42626953125	-7209.97998046875	187500	187500	187500	187500
53	187500	187500	-7483.60986328125	-7209.8232421875	187500	187500	187500	187500
54	187500	187500	-7480.279296875	-7211.8349609375	187500	187500	187500	187500
55	187500	187500	-7483.05126953125	-7215.52294921875	187500	187500	187500	187500
56	187500	187500	-7481.17333984375	-7213.623046875	187500	187500	187500	187500
57	187500	187500	-7467.3603515625	-7206.470703125	187500	187500	187500	187500
58	187500	187500	-7469.5283203125	-7196.6806640625	187500	187500	187500	187500
59	187500	187500	-7496.03759765625	-7206.91748046875	187500	187500	187500	187500
60	187500	187500	-7496.7529296875	-7199.2958984375	187500	187500	187500	187500
61	187500	187500	-7490.7626953125	-7188.455078125	187500	187500	187500	187500
62	187500	187500	-7493.556640625	-7181.16845703125	187500	187500	187500	187500
63	187500	187500	-7499.79248046875	-7179.76025390625	187500	187500	187500	187500
64	187500	187500	-7500.462890625	-7174.8876953125	187500	187500	187500	187500
65	187500	187500	-7503.65966796875	-7176.16162109375	187500	187500	187500	187500
66	187500	187500	-7501.9384765625	-7181.92822265625	187500	187500	187500	187500
67	187500	187500	-7498.7421875	-7180.1181640625	187500	187500	187500	187500
68	187500	187500	-7497.80322265625	-7172.76416015625	187500	187500	187500	187500
69	187500	187500	-7502.8994140625	-7178.0615234375	187500	187500	187500	187500
70	187500	187500	-7500.2841796875	-7182.0625	187500	187500	187500	187500
71	187500	187500	-7496.97607421875	-7178.73193359375	187500	187500	187500	187500
72	187500	187500	-7497.69140625	-7174.8427734375	187500	187500	187500	187500
73	187500	187500	-7499.748046875	-7179.5146484375	187500	187500	187500	187500
74	187500	187500	-7491.38818359375	-7174.41845703125	187500	187500	187500	187500
75	187500	187500	-7494.02587890625	-7178.97802734375	187500	187500	187500	187500
76	187500	187500	-7491.3212890625	-7176.2734375	187500	187500	187500	187500
77	187500	187500	-7488.28125	-7168.673828125	187500	187500	187500	187500
