250
9
Frame	CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8
0	187500	187500	20473.37109375	19565.62109375	187500	187500	187500	187500
1	187500	187500	20659.091796875	19733.326171875	187500	187500	187500	187500
2	187500	187500	20691.92578125	19992.541015625	187500	187500	187500	187500
3	187500	187500	20497.041015625	19862.83203125	187500	187500	187500	187500
4	187500	187500	20421.626953125	19588.33203125	187500	187500	187500	187500
5	187500	187500	20613.13671875	19691.1484375	187500	187500	187500	187500
6	187500	187500	20688.998046875	19958.990234375	187500	187500	187500	187500
7	187500	187500	20496.99609375	19916.947265625	187500	187500	187500	187500
8	187500	187500	20369.234375	19629.591796875	187500	187500	187500	187500
9	187500	187500	20527.193359375	19620.65234375	187500	187500	187500	187500
10	187500	187500	20680.728515625	19904.765625	187500	187500	187500	187500
11	187500	187500	20559.759765625	19935.4765625	187500	187500	187500	187500
12	187500	187500	20389.998046875	19638.599609375	187500	187500	187500	187500
13	187500	187500	20502.94140625	19591.37109375	187500	187500	187500	187500
14	187500	187500	20685.64453125	19891.197265625	187500	187500	187500	187500
15	187500	187500	20601.267578125	19970.076171875	187500	187500	187500	187500
16	187500	187500	20410.78515625	19684.755859375	187500	187500	187500	187500
17	187500	187500	20464.876953125	19551.2265625	187500	187500	187500	187500
18	187500	187500	20675.029296875	19822.130859375	187500	187500	187500	187500
19	187500	187500	20638.193359375	20004.431640625	187500	187500	187500	187500
20	187500	187500	20424.33203125	19759.3671875	187500	187500	187500	187500
21	187500	187500	20431.416015625	19570.8515625	187500	187500	187500	187500
22	187500	187500	20637.9921875	19786.724609375	187500	187500	187500	187500
23	187500	187500	20660.90234375	20016.099609375	187500	187500	187500	187500
24	187500	187500	20462.955078125	19825.6171875	187500	187500	187500	187500
25	187500	187500	20427.953125	19577.916015625	187500	187500	187500	187500
26	187500	187500	20635.041015625	19740.546875	187500	187500	187500	187500
27	187500	187500	20702.431640625	19993.388671875	187500	187500	187500	187500
28	187500	187500	20500.39453125	19883.62109375	187500	187500	187500	187500
29	187500	187500	20408.572265625	19623.7578125	187500	187500	187500	187500
30	187500	187500	20601.87109375	19714.39453125	187500	187500	187500	187500
31	187500	187500	20717.2734375	20001.591796875	187500	187500	187500	187500
32	187500	187500	20542.99609375	19953.693359375	187500	187500	187500	187500
33	187500	187500	20413.490234375	19668.283203125	187500	187500	187500	187500
34	187500	187500	20587.140625	19731.650390625	187500	187500	187500	187500
35	187500	187500	20727.130859375	20017.462890625	187500	187500	187500	187500
36	187500	187500	20587.23046875	20004.9453125	187500	187500	187500	187500
37	187500	187500	20427.4609375	19738.423828125	187500	187500	187500	187500
38	187500	187500	20546.08203125	19703.509765625	187500	187500	187500	187500
39	187500	187500	20720.58203125	19959.4140625	187500	187500	187500	187500
40	187500	187500	20633.654296875	20039.634765625	187500	187500	187500	187500
41	187500	187500	20442.48046875	19770.6328125	187500	187500	187500	187500
42	187500	187500	20517.3359375	19658.0234375	187500	187500	187500	187500
43	187500	187500	20730.70703125	19935.923828125	187500	187500	187500	187500
44	187500	187500	20691.03125	20096.318359375	187500	187500	187500	187500
45	187500	187500	20474.33203125	19854.919921875	187500	187500	187500	187500
46	187500	187500	20488.705078125	19671.904296875	187500	187500	187500	187500
47	187500	187500	20697.984375	19884.849609375	187500	187500	187500	187500
48	187500	187500	20710.65625	20101.326171875	187500	187500	187500	187500
49	187500	187500	20507.970703125	19940.080078125	187500	187500	187500	187500
50	187500	187500	20468.744140625	19711.578125	187500	187500	187500	187500
51	187500	187500	20666.22265625	19849.802734375	187500	187500	187500	187500
52	187500	187500	20705.203125	20074.236328125	187500	187500	187500	187500
53	187500	187500	20508.486328125	19935.767578125	187500	187500	187500	187500
54	187500	187500	20419.2578125	19663.1640625	187500	187500	187500	187500
55	187500	187500	20615.193359375	19762.541015625	187500	187500	187500	187500
56	187500	187500	20720.603515625	20064.78125	187500	187500	187500	187500
57	187500	187500	20556.810546875	20023.296875	187500	187500	187500	187500
58	187500	187500	20426.052734375	19720.787109375	187500	187500	187500	187500
59	187500	187500	20577.59765625	19742.736328125	187500	187500	187500	187500
60	187500	187500	20723.978515625	20043.078125	187500	187500	187500	187500
61	187500	187500	20583.005859375	20066.033203125	187500	187500	187500	187500
62	187500	187500	20407.455078125	19769.24609375	187500	187500	187500	187500
63	187500	187500	20531.126953125	19702.5703125	187500	187500	187500	187500
64	187500	187500	20701.068359375	19983.666015625	187500	187500	187500	187500
65	187500	187500	20590.271484375	20074.458984375	187500	187500	187500	187500
66	187500	187500	20397.1953125	19815.201171875	187500	187500	187500	187500
67	187500	187500	20473.03515625	19695.75390625	187500	187500	187500	187500
68	187500	187500	20681.46484375	19949.916015625	187500	187500	187500	187500
69	187500	187500	20645.814453125	20094.44140625	187500	187500	187500	187500
70	187500	187500	20435.41796875	19864.642578125	187500	187500	187500	187500
71	187500	187500	20430.65625	19669.513671875	187500	187500	187500	187500
72	187500	187500	20638.080078125	19884.71484375	187500	187500	187500	187500
73	187500	187500	20663.091796875	20102.466796875	187500	187500	187500	187500
74	187500	187500	20465.345703125	19910.95703125	187500	187500	187500	187500
75	187500	187500	20435.171875	19666.048828125	187500	187500	187500	187500
76	187500	187500	20633.431640625	19814.330078125	187500	187500	187500	187500
77	187500	187500	20687.880859375	20070.748046875	187500	187500	187500	187500
78	187500	187500	20496.236328125	19950.5859375	187500	187500	187500	187500
79	187500	187500	20399.119140625	19683.572265625	187500	187500	187500	187500
80	187500	187500	20582.1796875	19784.177734375	187500	187500	187500	187500
81	187500	187500	20703.818359375	20054.1640625	187500	187500	187500	187500
82	187500	187500	20538.03515625	19985.96875	187500	187500	187500	187500
83	187500	187500	20411.412109375	19693.072265625	187500	187500	187500	187500
84	187500	187500	20569.37109375	19717.234375	187500	187500	187500	187500
85	187500	187500	20702.85546875	19995.9375	187500	187500	187500	187500
86	187500	187500	20571.40625	20023.228515625	187500	187500	187500	187500
87	187500	187500	20409.04296875	19741.931640625	187500	187500	187500	187500
88	187500	187500	20522.521484375	19677.314453125	187500	187500	187500	187500
89	187500	187500	20710.92578125	19963.236328125	187500	187500	187500	187500
90	187500	187500	20615.037109375	20068.513671875	187500	187500	187500	187500
91	187500	187500	20422.20703125	19796.0234375	187500	187500	187500	187500
92	187500	187500	20484.76953125	19660.884765625	187500	187500	187500	187500
93	187500	187500	20694.048828125	19916.029296875	187500	187500	187500	187500
94	187500	187500	20639.35546875	20082.169921875	187500	187500	187500	187500
95	187500	187500	20435.037109375	19850.78515625	187500	187500	187500	187500
96	187500	187500	20439.619140625	19632.810546875	187500	187500	187500	187500
97	187500	187500	20633.677734375	19837.12890625	187500	187500	187500	187500
98	187500	187500	20630.638671875	20021.59765625	187500	187500	187500	187500
99	187500	187500	20422.587890625	19846.3828125	187500	187500	187500	187500
100	187500	187500	20387.09375	19619.51171875	187500	187500	187500	187500
101	187500	187500	20596.595703125	19770.69921875	187500	187500	187500	187500
102	187500	187500	20653.236328125	20022.9609375	187500	187500	187500	187500
103	187500	187500	20455.01953125	19913.326171875	187500	187500	187500	187500
104	187500	187500	20353.744140625	19641.662109375	187500	187500	187500	187500
105	187500	187500	20535.10546875	19735.294921875	187500	187500	187500	187500
106	187500	187500	20664.3671875	20034.740234375	187500	187500	187500	187500
107	187500	187500	20500.9296875	20004.810546875	187500	187500	187500	187500
108	187500	187500	20364.78515625	19718.126953125	187500	187500	187500	187500
109	187500	187500	20519.794921875	19732.208984375	187500	187500	187500	187500
110	187500	187500	20680.66015625	20012.58984375	187500	187500	187500	187500
111	187500	187500	20550.73046875	20050.05078125	187500	187500	187500	187500
112	187500	187500	20379.470703125	19758.583984375	187500	187500	187500	187500
113	187500	187500	20503.859375	19693.517578125	187500	187500	187500	187500
114	187500	187500	20684.998046875	19996.40625	187500	187500	187500	187500
115	187500	187500	20593.17578125	20109.23828125	187500	187500	187500	187500
116	187500	187500	20405.443359375	19820.923828125	187500	187500	187500	187500
117	187500	187500	20494.60546875	19687.685546875	187500	187500	187500	187500
118	187500	187500	20696.21875	19953.291015625	187500	187500	187500	187500
119	187500	187500	20660.611328125	20131.1875	187500	187500	187500	187500
120	187500	187500	20466.77734375	19904.005859375	187500	187500	187500	187500
121	187500	187500	20467.357421875	19691.841796875	187500	187500	187500	187500
122	187500	187500	20688.216796875	19910.755859375	187500	187500	187500	187500
123	187500	187500	20704.33203125	20128.6171875	187500	187500	187500	187500
124	187500	187500	20509.693359375	19958.85546875	187500	187500	187500	187500
125	187500	187500	20477.86328125	19722.0625	187500	187500	187500	187500
126	187500	187500	20678.515625	19890.90625	187500	187500	187500	187500
