250
9
Frame	CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8
0	187500	187500	26785.794921875	22113.318359375	187500	187500	187500	187500
1	187500	187500	27044.806640625	22546.740234375	187500	187500	187500	187500
2	187500	187500	26828.26171875	22532.927734375	187500	187500	187500	187500
3	187500	187500	26542.875	22104.400390625	187500	187500	187500	187500
4	187500	187500	26730.25	22078.76171875	187500	187500	187500	187500
5	187500	187500	27040.58203125	22506.619140625	187500	187500	187500	187500
6	187500	187500	26913.578125	22602.6875	187500	187500	187500	187500
7	187500	187500	26578.369140625	22185.759765625	187500	187500	187500	187500
8	187500	187500	26678.439453125	22047.447265625	187500	187500	187500	187500
9	187500	187500	27021.560546875	22452.953125	187500	187500	187500	187500
10	187500	187500	26953.833984375	22642.71875	187500	187500	187500	187500
11	187500	187500	26601.75	22274.02734375	187500	187500	187500	187500
12	187500	187500	26618.447265625	22035.7578125	187500	187500	187500	187500
13	187500	187500	26971.873046875	22391.3515625	187500	187500	187500	187500
14	187500	187500	26984.791015625	22659.6171875	187500	187500	187500	187500
15	187500	187500	26634.40625	22354.224609375	187500	187500	187500	187500
16	187500	187500	26563.05859375	22033.03125	187500	187500	187500	187500
17	187500	187500	26911.25390625	22305.9453125	187500	187500	187500	187500
18	187500	187500	27022.431640625	22653.359375	187500	187500	187500	187500
19	187500	187500	26680.94140625	22426.98046875	187500	187500	187500	187500
20	187500	187500	26525.3515625	22050.822265625	187500	187500	187500	187500
21	187500	187500	26833.783203125	22234.0625	187500	187500	187500	187500
22	187500	187500	27026.701171875	22626.759765625	187500	187500	187500	187500
23	187500	187500	26761.318359375	22506.240234375	187500	187500	187500	187500
24	187500	187500	26530.0234375	22083.947265625	187500	187500	187500	187500
25	187500	187500	26781.01171875	22165.197265625	187500	187500	187500	187500
26	187500	187500	27031.8203125	22587.353515625	187500	187500	187500	187500
27	187500	187500	26805.8203125	22563.326171875	187500	187500	187500	187500
28	187500	187500	26510.80078125	22131.556640625	187500	187500	187500	187500
29	187500	187500	26698.95703125	22103.484375	187500	187500	187500	187500
30	187500	187500	27013.603515625	22532.2578125	187500	187500	187500	187500
31	187500	187500	26867.064453125	22617.796875	187500	187500	187500	187500
